taxonomy,category,purpose,examples
User Intent and Goals,Data Input,Collect user information,"Form Fields, Dropdowns, Checkboxes, Date Picker"
User Intent and Goals,Navigation,Guide users through tasks or content,"Tabs, Breadcrumbs, Menu, Pagination"
User Intent and Goals,Feedback,Inform users of system status or outcomes,"Alert, Snackbar, Badge, Tooltip"
User Intent and Goals,Engagement,Encourage interaction or immersion,"Carousel, Rating, Video, Tooltip"
Content Density and Complexity,"Simple, Single Function","Minimal content, focused task","Button, Icon, Badge, Toggle"
Content Density and Complexity,"Moderate Content, Interactive",Contains more detailed information or interactivity,"Card, Avatar, Accordion, Tabs"
Content Density and Complexity,"Complex, Multi-Dimensional",Handles large datasets or complex information structures,"Data Table, Grid, Tree View, Wizard"
State and Context Awareness,Static State,Content does not change based on user actions,"Badge, Avatar, Icon"
State and Context Awareness,Interactive State,Responds to user input with dynamic feedback,"Button, Toggle, Radio Button, Tooltip"
State and Context Awareness,Contextual Awareness,"Adjusts based on page, user state, or system changes","Alert, Notification, Dialog, Toast"
Frequency and Permanence of Use,"High-Frequency, Persistent",Always present and frequently interacted with,"Navigation Bar, Header, Footer"
Frequency and Permanence of Use,"Moderate-Frequency, Transient",Appears regularly but is more transient,"Tooltip, Snackbar, Pagination"
Frequency and Permanence of Use,"Low-Frequency, Contextual",Only appears in specific contexts,"Dialog, Modal, Toast"
Information Hierarchy and Priority,Primary Information,Core content that requires immediate attention,"Alert, Modal, Hero Banner"
Information Hierarchy and Priority,Supporting Information,Contextual information that adds depth,"Tooltip, Badge, Status Indicator"
Information Hierarchy and Priority,Background or Assistive,Enhances or complements primary content,"Breadcrumbs, Table of Contents, Infotip"
Brand and Visual Consistency,Brand-Centric Components,Reinforce brand identity,"Badge, Avatar, Card"
Brand and Visual Consistency,Universal Components,Shared across various brands or products without customization,"Button, Checkbox, Form Fields"
Brand and Visual Consistency,Themed Components,Style changes to fit different themes or contexts,"Alert, Tooltip, Modal"
Device-Specific Interaction,Touch-Friendly,Optimized for mobile and touch devices,"Carousel, Toggle, Segmented Control"
Device-Specific Interaction,Desktop-Only,Designed primarily for larger screens,"Data Table, Complex Forms"
Device-Specific Interaction,Universal Design,Works consistently across all devices,"Button, Accordion, Card"
